raceplace,var_name,group,beta,se,varName,model
1,1.srmc,Dementia,1.3413506,.25216031,,All adjustors
2,1.srmc,Dementia,.83333987,.34749728,,All adjustors
3,1.srmc,Dementia,.85207331,.30142769,,All adjustors
4,1.srmc,Dementia,1.3603176,.40368459,,All adjustors
5,1.srmc,Dementia,27.891779,9300.0996,,All adjustors
6,1.srmc,Dementia,.17296346,.284738,,All adjustors
1,1.strokehx,Dementia,1.1443033,.31796744,,All adjustors
2,1.strokehx,Dementia,1.0009464,.5944317,,All adjustors
3,1.strokehx,Dementia,2.5789456,.46930784,,All adjustors
4,1.strokehx,Dementia,.049610179,.89184403,,All adjustors
5,1.strokehx,Dementia,40.133034,25532.979,,All adjustors
6,1.strokehx,Dementia,.67099667,.44303003,,All adjustors
1,1.unmarried,Dementia,.24033335,.27124313,,All adjustors
2,1.unmarried,Dementia,-.2052919,.3912521,,All adjustors
3,1.unmarried,Dementia,-.62450087,.318288,,All adjustors
4,1.unmarried,Dementia,-.51076967,.54690117,,All adjustors
5,1.unmarried,Dementia,-38.011078,13418.33,,All adjustors
6,1.unmarried,Dementia,.36665991,.30486125,,All adjustors
1,2.dm3cat,Dementia,-.079262301,.34003559,,All adjustors
2,2.dm3cat,Dementia,.74072146,.40679553,,All adjustors
3,2.dm3cat,Dementia,-.015245881,.35554382,,All adjustors
4,2.dm3cat,Dementia,1.9838834,.47443926,,All adjustors
5,2.dm3cat,Dementia,-3.2604961,13933.993,,All adjustors
6,2.dm3cat,Dementia,.72615886,.28082463,,All adjustors
1,2.htn3cat,Dementia,.15897106,.33061734,,All adjustors
2,2.htn3cat,Dementia,-.094048209,.37197027,,All adjustors
3,2.htn3cat,Dementia,-.31693691,.33495447,,All adjustors
4,2.htn3cat,Dementia,-.21226844,.46181902,,All adjustors
5,2.htn3cat,Dementia,13.689861,13429.808,,All adjustors
6,2.htn3cat,Dementia,-.17090364,.42152181,,All adjustors
1,3.dm3cat,Dementia,-.84601665,1.037209,,All adjustors
2,3.dm3cat,Dementia,-.49407914,.76360899,,All adjustors
3,3.dm3cat,Dementia,.17164071,.47669229,,All adjustors
4,3.dm3cat,Dementia,1.2243829,.64145511,,All adjustors
5,3.dm3cat,Dementia,-24.36647,32205.967,,All adjustors
6,3.dm3cat,Dementia,.34048671,.58192182,,All adjustors
1,3.htn3cat,Dementia,.57458705,.45800832,,All adjustors
2,3.htn3cat,Dementia,.023662647,.67013478,,All adjustors
3,3.htn3cat,Dementia,.56452775,.58217722,,All adjustors
4,3.htn3cat,Dementia,.56126124,.86565375,,All adjustors
5,3.htn3cat,Dementia,-16.134275,37555.477,,All adjustors
6,3.htn3cat,Dementia,1.030792,.64263284,,All adjustors
1,age5,Dementia,.61619312,.11885645,,All adjustors
2,age5,Dementia,.48664695,.16386741,,All adjustors
3,age5,Dementia,.93224907,.15467235,,All adjustors
4,age5,Dementia,.96272135,.20414741,,All adjustors
5,age5,Dementia,8.5285158,4738.2246,,All adjustors
6,age5,Dementia,.50620145,.1233893,,All adjustors
1,1.alcprob,MCI,.0047939476,.75817794,,All adjustors
2,1.alcprob,MCI,-.1280168,.22339411,,All adjustors
3,1.alcprob,MCI,.32901856,.27541208,,All adjustors
4,1.alcprob,MCI,.26480514,.19680756,,All adjustors
5,1.alcprob,MCI,-.11802159,1.523007,,All adjustors
6,1.alcprob,MCI,-.91773707,.77143359,,All adjustors
1,1.bmigte30,MCI,-.16218312,.1153649,,All adjustors
2,1.bmigte30,MCI,-.035953857,.14380452,,All adjustors
3,1.bmigte30,MCI,.29307926,.14360794,,All adjustors
4,1.bmigte30,MCI,.12949707,.17039043,,All adjustors
5,1.bmigte30,MCI,-.28027269,.87977844,,All adjustors
6,1.bmigte30,MCI,-.051675446,.16204436,,All adjustors
1,1.cvdhx,MCI,.092929713,.11061514,,All adjustors
2,1.cvdhx,MCI,-.25402358,.18440711,,All adjustors
3,1.cvdhx,MCI,-.095483266,.17546025,,All adjustors
4,1.cvdhx,MCI,-.21851319,.21043237,,All adjustors
5,1.cvdhx,MCI,-.067237206,1.0583223,,All adjustors
6,1.cvdhx,MCI,.36267981,.24591428,,All adjustors
1,1.educ_lths,MCI,.59737331,.15132448,,All adjustors
2,1.educ_lths,MCI,-.24320143,.37631044,,All adjustors
3,1.educ_lths,MCI,.16203627,.16223682,,All adjustors
4,1.educ_lths,MCI,-.16399358,.32996595,,All adjustors
5,1.educ_lths,MCI,-.34791359,1.1282603,,All adjustors
6,1.educ_lths,MCI,-.29995629,.17701931,,All adjustors
1,1.eversmoked,MCI,-.069247656,.10127569,,All adjustors
2,1.eversmoked,MCI,-.09077581,.13207677,,All adjustors
3,1.eversmoked,MCI,.046187326,.13558626,,All adjustors
4,1.eversmoked,MCI,-.03022282,.14971338,,All adjustors
5,1.eversmoked,MCI,1.0911596,.84918672,,All adjustors
6,1.eversmoked,MCI,-.12607767,.15977079,,All adjustors
1,1.fxdementia,MCI,-.079877004,.11347897,,All adjustors
2,1.fxdementia,MCI,1.1182516,.19758964,,All adjustors
3,1.fxdementia,MCI,.60068101,.1954177,,All adjustors
4,1.fxdementia,MCI,.89162725,.21585496,,All adjustors
5,1.fxdementia,MCI,-20.541069,40372.895,,All adjustors
6,1.fxdementia,MCI,1.5505444,.25929508,,All adjustors
1,1.male,MCI,.20972857,.11294339,,All adjustors
2,1.male,MCI,.63272554,.13886867,,All adjustors
3,1.male,MCI,.2259566,.14643458,,All adjustors
4,1.male,MCI,.31713495,.16018443,,All adjustors
5,1.male,MCI,-.4143123,.95312762,,All adjustors
6,1.male,MCI,.12605916,.18822697,,All adjustors
1,1.srmc,MCI,.71976751,.099716067,,All adjustors
2,1.srmc,MCI,.55255634,.15347821,,All adjustors
3,1.srmc,MCI,.66043693,.153203,,All adjustors
4,1.srmc,MCI,.59856862,.15716767,,All adjustors
5,1.srmc,MCI,.2618449,.84138042,,All adjustors
6,1.srmc,MCI,.027187699,.17754936,,All adjustors
1,1.strokehx,MCI,.86510527,.1638732,,All adjustors
2,1.strokehx,MCI,.66383183,.3130452,,All adjustors
3,1.strokehx,MCI,.52325517,.37773088,,All adjustors
4,1.strokehx,MCI,.66485775,.36124206,,All adjustors
5,1.strokehx,MCI,1.8083357,1.3832936,,All adjustors
6,1.strokehx,MCI,.38375193,.31044549,,All adjustors
1,1.unmarried,MCI,.14500542,.11396178,,All adjustors
2,1.unmarried,MCI,.25388268,.15011561,,All adjustors
3,1.unmarried,MCI,-.33902651,.15202701,,All adjustors
4,1.unmarried,MCI,.2465128,.16825479,,All adjustors
5,1.unmarried,MCI,-.59789586,.93939584,,All adjustors
6,1.unmarried,MCI,.056084801,.17262954,,All adjustors
1,2.dm3cat,MCI,.24986187,.13339834,,All adjustors
2,2.dm3cat,MCI,.56134003,.17482656,,All adjustors
3,2.dm3cat,MCI,.41615796,.15539469,,All adjustors
4,2.dm3cat,MCI,.70531875,.1914216,,All adjustors
5,2.dm3cat,MCI,2.2322497,.94450033,,All adjustors
6,2.dm3cat,MCI,.34974766,.16579954,,All adjustors
1,2.htn3cat,MCI,.17998569,.131891,,All adjustors
2,2.htn3cat,MCI,-.041941021,.14616276,,All adjustors
3,2.htn3cat,MCI,-.006739642,.16029091,,All adjustors
4,2.htn3cat,MCI,.14160307,.16726598,,All adjustors
5,2.htn3cat,MCI,-1.0945594,1.0779303,,All adjustors
6,2.htn3cat,MCI,.053086065,.25497621,,All adjustors
1,3.dm3cat,MCI,-.35997379,.34952492,,All adjustors
2,3.dm3cat,MCI,.16823146,.22034591,,All adjustors
3,3.dm3cat,MCI,-.02047867,.242847,,All adjustors
4,3.dm3cat,MCI,-.095293261,.27956492,,All adjustors
5,3.dm3cat,MCI,1.923303,1.4854488,,All adjustors
6,3.dm3cat,MCI,.020724073,.34028342,,All adjustors
1,3.htn3cat,MCI,.26554137,.20150931,,All adjustors
2,3.htn3cat,MCI,-.093416549,.2650651,,All adjustors
3,3.htn3cat,MCI,.19908528,.32599345,,All adjustors
4,3.htn3cat,MCI,.53479087,.27656817,,All adjustors
5,3.htn3cat,MCI,-22.069782,63288.738,,All adjustors
6,3.htn3cat,MCI,-.43583053,.59130323,,All adjustors
1,age5,MCI,.26915774,.044258144,,All adjustors
2,age5,MCI,.25817698,.065477341,,All adjustors
3,age5,MCI,.37042308,.067741722,,All adjustors
4,age5,MCI,.39365947,.069744125,,All adjustors
5,age5,MCI,.39875379,.341759,,All adjustors
6,age5,MCI,.36475727,.077572964,,All adjustors
